case_id,device,target,backend_target,npu2,variant,plot_series,flow,status,validation,timed_validation_failure,dtype,M,N,K,m,n,k,compute_columns,device_columns,warmup,iterations,mapping_columns,mapping_rows,raw_count,filtered_count,outlier_count,q1_us,q3_us,iqr_us,lower_bound_us,upper_bound_us,raw_mean_us,raw_median_us,raw_min_us,raw_max_us,raw_std_us,raw_gflops,filtered_mean_us,filtered_median_us,filtered_min_us,filtered_max_us,filtered_std_us,filtered_gflops,elapsed_seconds,error,log_path
manual_bf16_M256_N512_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,256,64,64,64,1,1,20,200,1,4,200,176,24,408.0,416.0,8.0,396.0,428.0,418.975,415.0,395.0,555.0,22.007598119740372,160.17391013783637,412.1875,415.0,398.0,419.0,4.500512912688144,162.81149719484458,10.781836970709264,,logs/manual/1col/manual_bf16_M256_N512_K256_1compute_1device.log
manual_bf16_M256_N512_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,512,64,64,64,1,1,20,200,1,4,200,162,38,486.75,488.0,1.25,484.875,489.875,489.15,487.0,479.0,606.0,11.15739664975661,274.3897127670449,487.1666666666667,487.0,485.0,489.0,0.9891385452647142,275.50679712624014,3.289566706866026,,logs/manual/1col/manual_bf16_M256_N512_K512_1compute_1device.log
manual_bf16_M256_N512_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,1024,64,64,64,1,1,20,200,1,4,200,176,24,648.0,652.0,4.0,642.0,658.0,655.83,650.0,639.0,841.0,25.42107590170015,409.30646051568243,649.5056818181819,649.0,642.0,658.0,2.8603821246050902,413.2919287920009,3.8501610970124602,,logs/manual/1col/manual_bf16_M256_N512_K1024_1compute_1device.log
manual_bf16_M256_N512_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,512,2048,64,64,64,1,1,20,200,1,4,200,177,23,1186.0,1224.25,38.25,1128.625,1281.625,1233.635,1197.0,1148.0,1717.0,101.0677583356829,435.19429328772287,1199.4915254237287,1194.0,1148.0,1278.0,21.45922915093127,447.58208009043386,5.057836172170937,,logs/manual/1col/manual_bf16_M256_N512_K2048_1compute_1device.log
manual_bf16_M256_N1024_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,256,64,64,64,1,1,20,200,1,4,200,200,0,776.0,880.25,104.25,619.625,1036.625,833.78,789.0,767.0,1020.0,74.53282229997734,160.97499100482142,833.78,789.0,767.0,1020.0,74.53282229997734,160.97499100482142,3.4049834748730063,,logs/manual/1col/manual_bf16_M256_N1024_K256_1compute_1device.log
manual_bf16_M256_N1024_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,512,64,64,64,1,1,20,200,1,4,200,158,42,933.0,938.0,5.0,925.5,945.5,948.745,934.0,925.0,1174.0,37.33229131730331,282.93741310889646,933.9177215189874,934.0,926.0,944.0,3.1801703438839892,287.42944888485283,3.926614181138575,,logs/manual/1col/manual_bf16_M256_N1024_K512_1compute_1device.log
manual_bf16_M256_N1024_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,1024,64,64,64,1,1,20,200,1,4,200,181,19,1300.0,1306.0,6.0,1291.0,1315.0,1304.85,1303.0,1290.0,1353.0,9.929123828415074,411.4426271218914,1302.2707182320441,1302.0,1292.0,1315.0,4.186095641730106,412.25753177407927,5.064501331187785,,logs/manual/1col/manual_bf16_M256_N1024_K1024_1compute_1device.log
manual_bf16_M256_N1024_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,1024,2048,64,64,64,1,1,20,200,1,4,200,200,0,2311.75,2424.25,112.5,2143.0,2593.0,2382.915,2417.0,2273.0,2471.0,59.936781486829936,450.60013638757573,2382.915,2417.0,2273.0,2471.0,59.936781486829936,450.60013638757573,7.339422422461212,,logs/manual/1col/manual_bf16_M256_N1024_K2048_1compute_1device.log
manual_bf16_M256_N2048_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,256,64,64,64,1,1,20,200,1,4,200,157,43,1511.0,1516.25,5.25,1503.125,1524.125,1531.99,1512.0,1503.0,1700.0,49.76353986605053,175.22010979183938,1511.8280254777071,1512.0,1506.0,1524.0,2.608604927569657,177.55687252535208,4.072907067835331,,logs/manual/1col/manual_bf16_M256_N2048_K256_1compute_1device.log
manual_bf16_M256_N2048_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,512,64,64,64,1,1,20,200,1,4,200,192,8,1826.0,1832.0,6.0,1817.0,1841.0,1830.845,1830.0,1821.0,1870.0,7.47201278103832,293.23668142305877,1829.6145833333333,1830.0,1821.0,1840.0,3.947229491646289,293.43388322904985,5.223575305193663,,logs/manual/1col/manual_bf16_M256_N2048_K512_1compute_1device.log
manual_bf16_M256_N2048_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,1024,64,64,64,1,1,20,200,1,4,200,199,1,2691.0,2716.0,25.0,2653.5,2753.5,2701.88,2700.0,2655.0,2775.0,18.452793826410137,397.4054450974877,2701.5125628140704,2700.0,2655.0,2748.0,17.754285857119278,397.4594968684954,7.3324114149436355,,logs/manual/1col/manual_bf16_M256_N2048_K1024_1compute_1device.log
manual_bf16_M256_N2048_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,256,2048,2048,64,64,64,1,1,20,200,1,4,200,181,19,4759.75,4794.25,34.5,4708.0,4846.0,4795.065,4773.5,4699.0,5348.0,85.15715339887777,447.8528754041916,4774.193370165746,4772.0,4708.0,4839.0,23.227464221624466,449.81078089961096,11.92227983288467,,logs/manual/1col/manual_bf16_M256_N2048_K2048_1compute_1device.log
manual_bf16_M512_N512_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,256,64,64,64,1,1,20,200,1,4,200,200,0,776.0,881.0,105.0,618.5,1038.5,830.86,785.5,768.0,1017.0,69.35553618854085,161.5407264761813,830.86,785.5,768.0,1017.0,69.35553618854085,161.5407264761813,3.392272586002946,,logs/manual/1col/manual_bf16_M512_N512_K256_1compute_1device.log
manual_bf16_M512_N512_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,512,64,64,64,1,1,20,200,1,4,200,189,11,937.0,996.0,59.0,848.5,1084.5,984.92,992.0,926.0,1176.0,49.07182083436481,272.545441254112,976.2010582010582,992.0,926.0,1081.0,33.49898204157866,274.9796814343476,3.950418885797262,,logs/manual/1col/manual_bf16_M512_N512_K512_1compute_1device.log
manual_bf16_M512_N512_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,1024,64,64,64,1,1,20,200,1,4,200,168,32,1252.0,1266.25,14.25,1230.625,1287.625,1268.575,1255.0,1242.0,1432.0,33.082841096254114,423.2078607886802,1256.1369047619048,1253.5,1242.0,1283.0,8.356581092908646,427.3984069449512,4.9515657080337405,,logs/manual/1col/manual_bf16_M512_N512_K1024_1compute_1device.log
manual_bf16_M512_N512_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,512,2048,64,64,64,1,1,20,200,1,4,200,196,4,2211.0,2221.0,10.0,2196.0,2236.0,2216.375,2217.0,2193.0,2246.0,7.652736438686492,484.4585523659128,2216.122448979592,2216.5,2199.0,2236.0,6.902772743870347,484.5137616355097,7.297827320173383,,logs/manual/1col/manual_bf16_M512_N512_K2048_1compute_1device.log
manual_bf16_M512_N1024_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,256,64,64,64,1,1,20,200,1,4,200,161,39,1508.0,1513.0,5.0,1500.5,1520.5,1529.33,1511.0,1502.0,1694.0,48.440077415297345,175.52487429135635,1509.9316770186335,1510.0,1502.0,1518.0,2.913076586708778,177.77986917264158,4.090407527051866,,logs/manual/1col/manual_bf16_M512_N1024_K256_1compute_1device.log
manual_bf16_M512_N1024_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,512,64,64,64,1,1,20,200,1,4,200,178,22,1825.0,1852.0,27.0,1784.5,1892.5,1849.875,1829.0,1819.0,2065.0,45.61588950135687,290.22010243935404,1836.3820224719102,1828.0,1819.0,1890.0,19.69429599620184,292.35252002594257,5.101594376377761,,logs/manual/1col/manual_bf16_M512_N1024_K512_1compute_1device.log
manual_bf16_M512_N1024_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,1024,64,64,64,1,1,20,200,1,4,200,191,9,2503.0,2546.25,43.25,2438.125,2611.125,2532.425,2531.5,2463.0,2703.0,37.84368342273252,423.9974822551507,2526.9267015706805,2528.0,2463.0,2605.0,27.958924042655536,424.9200514334612,7.435180865228176,,logs/manual/1col/manual_bf16_M512_N1024_K1024_1compute_1device.log
manual_bf16_M512_N1024_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,1024,2048,64,64,64,1,1,20,200,1,4,200,190,10,4520.0,4543.0,23.0,4485.5,4577.5,4529.805,4532.0,4466.0,4572.0,20.34888141888885,474.0786077987905,4532.747368421053,4532.0,4486.0,4572.0,16.159057047171398,473.77086642004036,11.9483752110973,,logs/manual/1col/manual_bf16_M512_N1024_K2048_1compute_1device.log
manual_bf16_M512_N2048_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,256,64,64,64,1,1,20,200,1,4,200,200,0,3021.0,3398.0,377.0,2455.5,3963.5,3157.66,3031.5,2978.0,3656.0,182.7239568310625,170.02176041752438,3157.66,3031.5,2978.0,3656.0,182.7239568310625,170.02176041752438,5.491631089709699,,logs/manual/1col/manual_bf16_M512_N2048_K256_1compute_1device.log
manual_bf16_M512_N2048_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,512,64,64,64,1,1,20,200,1,4,200,188,12,3616.0,3631.0,15.0,3593.5,3653.5,3625.155,3620.0,3607.0,3671.0,14.282540915397371,296.1919763430805,3622.6436170212764,3619.0,3607.0,3652.0,10.518252206062972,296.39731022807194,7.765227964147925,,logs/manual/1col/manual_bf16_M512_N2048_K512_1compute_1device.log
manual_bf16_M512_N2048_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,1024,64,64,64,1,1,20,200,1,4,200,194,6,5419.0,5445.0,26.0,5380.0,5484.0,5436.93,5434.0,5378.0,5953.0,52.43209990072875,394.98092636837333,5431.469072164949,5434.0,5381.0,5468.0,18.530319878761542,395.37804956036086,12.544851736165583,,logs/manual/1col/manual_bf16_M512_N2048_K1024_1compute_1device.log
manual_bf16_M512_N2048_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,512,2048,2048,64,64,64,1,1,20,200,1,4,200,184,16,9590.0,9678.25,88.25,9457.625,9810.625,9664.925,9646.0,9557.0,10161.0,108.1519272828737,444.38702793865446,9637.342391304348,9642.5,9557.0,9779.0,49.860971348810295,445.65888827144863,5.322232329286635,,logs/manual/1col/manual_bf16_M512_N2048_K2048_1compute_1device.log
manual_bf16_M1024_N512_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,512,256,64,64,64,1,1,20,200,1,4,200,161,39,1511.0,1517.0,6.0,1502.0,1526.0,1523.4,1512.0,1501.0,1692.0,30.833909904519082,176.20812393330706,1511.7080745341616,1511.0,1503.0,1523.0,3.2199682718100333,177.57096129999795,4.127298386767507,,logs/manual/1col/manual_bf16_M1024_N512_K256_1compute_1device.log
manual_bf16_M1024_N512_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,512,512,64,64,64,1,1,20,200,1,4,200,200,0,1835.0,2239.0,404.0,1229.0,2845.0,2055.395,2005.0,1820.0,2496.0,200.69631031735486,261.2008455795601,2055.395,2005.0,1820.0,2496.0,200.69631031735486,261.2008455795601,5.174615631811321,,logs/manual/1col/manual_bf16_M1024_N512_K512_1compute_1device.log
manual_bf16_M1024_N512_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,512,1024,64,64,64,1,1,20,200,1,4,200,200,0,2508.0,2925.25,417.25,1882.125,3551.125,2757.89,2871.0,2464.0,3112.0,211.50881281875704,389.3345361852721,2757.89,2871.0,2464.0,3112.0,211.50881281875704,389.3345361852721,7.326930354349315,,logs/manual/1col/manual_bf16_M1024_N512_K1024_1compute_1device.log
manual_bf16_M1024_N512_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,512,2048,64,64,64,1,1,20,200,1,4,200,176,24,4369.0,4394.25,25.25,4331.125,4432.125,4393.43,4378.0,4325.0,5050.0,67.76448258490579,488.79432425234955,4378.920454545455,4376.0,4337.0,4431.0,16.89790303754036,490.4139434117479,11.869925642386079,,logs/manual/1col/manual_bf16_M1024_N512_K2048_1compute_1device.log
manual_bf16_M1024_N1024_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,1024,256,64,64,64,1,1,20,200,1,4,200,171,29,3025.0,3045.0,20.0,2995.0,3075.0,3039.4,3032.5,2991.0,3119.0,22.512218904408336,176.63713627689677,3032.6491228070176,3029.0,3001.0,3075.0,12.987386451202246,177.03034220558715,5.3997713988646865,,logs/manual/1col/manual_bf16_M1024_N1024_K256_1compute_1device.log
manual_bf16_M1024_N1024_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,1024,512,64,64,64,1,1,20,200,1,4,200,184,16,3652.0,3682.5,30.5,3606.25,3728.25,3674.195,3668.0,3614.0,3819.0,38.85919421449704,292.23866016909824,3666.0054347826085,3667.0,3614.0,3725.0,27.55103905611971,292.8914981446753,7.574095579795539,,logs/manual/1col/manual_bf16_M1024_N1024_K512_1compute_1device.log
manual_bf16_M1024_N1024_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,1024,1024,64,64,64,1,1,20,200,1,4,200,179,21,4935.75,5006.25,70.5,4830.0,5112.0,5001.36,4968.5,4878.0,5469.0,115.93890805074886,429.37993825679416,4964.770949720671,4957.0,4878.0,5092.0,40.02496490066104,432.54435496582624,12.287885590456426,,logs/manual/1col/manual_bf16_M1024_N1024_K1024_1compute_1device.log
manual_bf16_M1024_N1024_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,1024,2048,64,64,64,1,1,20,200,1,4,200,162,38,9177.0,9212.25,35.25,9124.125,9265.125,9214.9,9194.0,9029.0,9706.0,99.79468923745391,466.08940910916016,9190.530864197532,9189.0,9128.0,9261.0,24.77707344278103,467.32526765471164,5.962279400788248,,logs/manual/1col/manual_bf16_M1024_N1024_K2048_1compute_1device.log
manual_bf16_M1024_N2048_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,2048,256,64,64,64,1,1,20,200,1,4,200,192,8,5949.75,5977.75,28.0,5907.75,6019.75,5969.815,5961.0,5932.0,6261.0,38.02526495634186,179.86182553395707,5963.661458333333,5959.0,5932.0,6017.0,18.401340925956017,180.04741407639847,8.191808555275202,,logs/manual/1col/manual_bf16_M1024_N2048_K256_1compute_1device.log
manual_bf16_M1024_N2048_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,2048,512,64,64,64,1,1,20,200,1,4,200,170,30,7236.75,7271.25,34.5,7185.0,7323.0,7286.32,7246.0,7185.0,7832.0,115.57507343713868,294.7281546789051,7246.670588235294,7243.0,7185.0,7321.0,24.18428669990891,296.3407294221931,12.752219792455435,,logs/manual/1col/manual_bf16_M1024_N2048_K512_1compute_1device.log
manual_bf16_M1024_N2048_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,2048,1024,64,64,64,1,1,20,200,1,4,200,163,37,10732.0,10804.25,72.25,10623.625,10912.625,10813.985,10752.5,10560.0,11663.0,161.8239005060748,397.16786143128553,10752.699386503067,10743.0,10624.0,10892.0,44.31027453166448,399.4315419429563,5.457610241137445,,logs/manual/1col/manual_bf16_M1024_N2048_K1024_1compute_1device.log
manual_bf16_M1024_N2048_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,1024,2048,2048,64,64,64,1,1,20,200,1,4,200,200,0,19095.5,19372.0,276.5,18680.75,19786.75,19267.57,19346.0,18736.0,19580.0,175.52371663111512,445.8234531910355,19267.57,19346.0,18736.0,19580.0,175.52371663111512,445.8234531910355,7.699989658780396,,logs/manual/1col/manual_bf16_M1024_N2048_K2048_1compute_1device.log
manual_bf16_M2048_N512_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,512,256,64,64,64,1,1,20,200,1,4,200,193,7,2997.0,3029.0,32.0,2949.0,3077.0,3016.025,3013.0,2977.0,3184.0,25.511063776330456,178.0061213020449,3012.963730569948,3012.0,2977.0,3076.0,19.04191533041578,178.18698132766528,5.59114439971745,,logs/manual/1col/manual_bf16_M2048_N512_K256_1compute_1device.log
manual_bf16_M2048_N512_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,512,512,64,64,64,1,1,20,200,1,4,200,196,4,3615.0,3652.25,37.25,3559.125,3708.125,3634.705,3624.0,3605.0,3719.0,24.967938941770903,295.4137471954395,3633.066326530612,3623.5,3605.0,3703.0,22.395806111939393,295.54699185064624,7.505159902386367,,logs/manual/1col/manual_bf16_M2048_N512_K512_1compute_1device.log
manual_bf16_M2048_N512_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,512,1024,64,64,64,1,1,20,200,1,4,200,189,11,4943.75,4961.0,17.25,4917.875,4986.875,4950.71,4951.0,4876.0,4998.0,18.411298161726673,433.7728624783112,4952.5026455026455,4951.0,4920.0,4985.0,12.81765661279954,433.6158507558041,11.976541525684297,,logs/manual/1col/manual_bf16_M2048_N512_K1024_1compute_1device.log
manual_bf16_M2048_N512_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,512,2048,64,64,64,1,1,20,200,1,4,200,187,13,8831.0,8866.25,35.25,8778.125,8919.125,8859.915,8843.0,8766.0,9333.0,66.6796653785845,484.76393915742983,8847.459893048128,8842.0,8780.0,8919.0,26.662522436227935,485.44637081370223,5.1084062634035945,,logs/manual/1col/manual_bf16_M2048_N512_K2048_1compute_1device.log
manual_bf16_M2048_N1024_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,1024,256,64,64,64,1,1,20,200,1,4,200,191,9,5968.0,6007.0,39.0,5909.5,6065.5,5991.5,5985.0,5934.0,6168.0,37.572463320895,179.21085270800302,5985.4502617801045,5984.0,5934.0,6058.0,25.143699833014388,179.39198841168943,8.165001904591918,,logs/manual/1col/manual_bf16_M2048_N1024_K256_1compute_1device.log
manual_bf16_M2048_N1024_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,1024,512,64,64,64,1,1,20,200,1,4,200,178,22,7240.75,7266.25,25.5,7202.5,7304.5,7261.555,7257.0,7197.0,7433.0,36.0012079658447,295.733303404023,7252.26404494382,7253.0,7210.0,7304.0,20.316676867030406,296.1121705844668,12.526671629399061,,logs/manual/1col/manual_bf16_M2048_N1024_K512_1compute_1device.log
manual_bf16_M2048_N1024_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,1024,1024,64,64,64,1,1,20,200,1,4,200,160,40,9784.0,9809.25,25.25,9746.125,9847.125,9825.44,9797.0,9715.0,10477.0,108.96841927824777,437.1272223941116,9793.6375,9794.0,9750.0,9843.0,17.747706718052335,438.5466887047841,5.198772732168436,,logs/manual/1col/manual_bf16_M2048_N1024_K1024_1compute_1device.log
manual_bf16_M2048_N1024_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,1024,2048,64,64,64,1,1,20,200,1,4,200,200,0,18297.5,18574.0,276.5,17882.75,18988.75,18466.98,18538.5,17944.0,18754.0,183.2782300220078,465.1510204700498,18466.98,18538.5,17944.0,18754.0,183.2782300220078,465.1510204700498,7.41847151517868,,logs/manual/1col/manual_bf16_M2048_N1024_K2048_1compute_1device.log
manual_bf16_M2048_N2048_K256_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,2048,256,64,64,64,1,1,20,200,1,4,200,200,0,11890.0,12245.5,355.5,11356.75,12778.75,12035.905,11955.0,11836.0,12571.0,185.13523698907238,178.4231138414602,12035.905,11955.0,11836.0,12571.0,185.13523698907238,178.4231138414602,13.93690955452621,,logs/manual/1col/manual_bf16_M2048_N2048_K256_1compute_1device.log
manual_bf16_M2048_N2048_K512_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,2048,512,64,64,64,1,1,20,200,1,4,200,200,0,14450.75,14827.25,376.5,13886.0,15392.0,14671.065,14784.0,14352.0,15270.0,200.04692143344772,292.75088727369143,14671.065,14784.0,14352.0,15270.0,200.04692143344772,292.75088727369143,6.73225087672472,,logs/manual/1col/manual_bf16_M2048_N2048_K512_1compute_1device.log
manual_bf16_M2048_N2048_K1024_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,2048,1024,64,64,64,1,1,20,200,1,4,200,155,45,21721.0,21802.0,81.0,21599.5,21923.5,21712.525,21773.0,21101.0,22013.0,165.49782287087646,395.62117220360136,21779.677419354837,21782.0,21630.0,21885.0,40.214575352223044,394.4013690655687,8.865063852630556,,logs/manual/1col/manual_bf16_M2048_N2048_K1024_1compute_1device.log
manual_bf16_M2048_N2048_K2048_1compute_1device,xdna2,npu2,npu2,2,manual,manual,mlir-aie,success,passed,False,bf16,2048,2048,2048,64,64,64,1,1,20,200,1,4,200,147,53,38434.5,38470.25,35.75,38380.875,38523.875,38409.92,38452.0,37806.0,38687.0,150.92012324405252,447.27688013929736,38456.09523809524,38454.0,38384.0,38517.0,21.39404626103957,446.7398231056319,14.020050569437444,,logs/manual/1col/manual_bf16_M2048_N2048_K2048_1compute_1device.log
compiled_bf16_M256_N512_K256_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,success,passed,False,bf16,256,512,256,64,64,64,1,1,20,200,2,2,200,196,4,407.0,512.25,105.25,249.125,670.125,459.945,412.0,396.0,690.0,66.95828533497554,145.90628009870744,455.3112244897959,411.0,396.0,631.0,59.17028415574877,147.39119176163422,11.012593419291079,,logs/compiled/1col/compiled_bf16_M256_N512_K256_1compute_1device.log
compiled_bf16_M256_N512_K512_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,success,passed,False,bf16,256,512,512,64,64,64,1,1,20,200,2,2,200,200,0,491.0,624.0,133.0,291.5,823.5,553.685,509.0,487.0,752.0,71.55512403035858,242.4080984675402,553.685,509.0,487.0,752.0,71.55512403035858,242.4080984675402,10.259252339601517,,logs/compiled/1col/compiled_bf16_M256_N512_K512_1compute_1device.log
compiled_bf16_M256_N512_K1024_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,failed,failed,True,bf16,256,512,1024,64,64,64,1,1,20,200,2,2,200,196,4,646.0,727.5,81.5,523.75,849.75,699.325,655.5,636.0,896.0,72.60495420424147,383.84936331462484,695.7448979591836,652.5,636.0,849.0,68.8090097364288,385.8245411319537,10.527566449716687,Output validation failed; timings were recorded automatically for the partial-NPU bf16 experiment,logs/compiled/1col/compiled_bf16_M256_N512_K1024_1compute_1device.log
compiled_bf16_M256_N512_K2048_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,failed,failed,True,bf16,256,512,2048,64,64,64,1,1,20,200,2,2,200,175,25,955.75,1009.25,53.5,875.5,1089.5,1008.12,979.0,945.0,1369.0,82.05824516768561,532.5466333373012,979.6228571428571,972.0,945.0,1082.0,28.285393360372776,548.0383681183429,11.320908039808273,Output validation failed; timings were recorded automatically for the partial-NPU bf16 experiment,logs/compiled/1col/compiled_bf16_M256_N512_K2048_1compute_1device.log
compiled_bf16_M256_N1024_K256_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,success,passed,False,bf16,256,1024,256,64,64,64,1,1,20,200,2,2,200,200,0,775.0,982.0,207.0,464.5,1292.5,871.555,826.0,766.0,1026.0,98.38768711073556,153.99800127358571,871.555,826.0,766.0,1026.0,98.38768711073556,153.99800127358571,10.533720387145877,,logs/compiled/1col/compiled_bf16_M256_N1024_K256_1compute_1device.log
compiled_bf16_M256_N1024_K512_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,success,passed,False,bf16,256,1024,512,64,64,64,1,1,20,200,2,2,200,171,29,932.0,1006.5,74.5,820.25,1118.25,1005.115,985.0,918.0,1340.0,88.78058219565808,267.0693960392592,972.4795321637426,982.0,918.0,1079.0,39.93405956362841,276.03198537529914,10.734978947788477,,logs/compiled/1col/compiled_bf16_M256_N1024_K512_1compute_1device.log
compiled_bf16_M256_N1024_K1024_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,failed,failed,True,bf16,256,1024,1024,64,64,64,1,1,20,200,2,2,200,147,53,1244.0,1248.0,4.0,1238.0,1254.0,1278.92,1245.0,1234.0,1645.0,96.67033464305376,419.78459325055513,1244.4625850340135,1244.0,1239.0,1250.0,1.8304756039474461,431.4078369703066,11.270054240711033,Output validation failed; timings were recorded automatically for the partial-NPU bf16 experiment,logs/compiled/1col/compiled_bf16_M256_N1024_K1024_1compute_1device.log
compiled_bf16_M256_N1024_K2048_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,failed,failed,True,bf16,256,1024,2048,64,64,64,1,1,20,200,2,2,200,169,31,1938.0,1968.0,30.0,1893.0,2013.0,1959.905,1945.0,1916.0,2064.0,35.23231435770293,547.8540153731941,1946.319526627219,1943.0,1916.0,2012.0,15.716938731493729,551.6780823037261,12.609977790154517,Output validation failed; timings were recorded automatically for the partial-NPU bf16 experiment,logs/compiled/1col/compiled_bf16_M256_N1024_K2048_1compute_1device.log
compiled_bf16_M256_N2048_K256_1compute_1device,xdna2,npu2,npu2_1col,2,compiled,compiled,allo,success,passed,False,bf16,256,2048,256,64,64,64,1,1,20,200,2,2,200,187,13,1509.0,1533.25,24.25,1472.625,1569.625,1533.46,1511.0,1500.0,2015.0,75.80810246932711,175.05214091009873,1517.9839572192514,1511.0,1500.0,1565.0,14.583147528124606,176.8368201280195,11.485338343307376,,logs/compiled/1col/compiled_bf16_M256_N2048_K256_1compute_1device.log
